year;month;quantity
2023;3;18569899,12135684
2023;4;16793278,90049251
2023;5;16543329,562139139
2023;6;15651918,42181165
2023;7;15714183,304766446
2023;8;16029663,719968164
2023;9;17715867,780677162
2023;10;18282655,2218927
2023;11;17297051,66119784
2023;12;18329232,228363425
2024;1;17849569,91199655
2024;2;16986216,02248216
2024;3;19038949,934766524
2024;4;17262046,785217397
2024;5;17044883,447518233
2024;6;16383251,283480436
2024;7;16064398,37878349
2024;8;16686561,808364617
2024;9;17905905,75123244
2024;10;19158470,578656938
2024;11;17867238,28416084
2024;12;18805655,63071483
2025;1;18407790,072254177
2025;2;17651701,360885113
2025;3;19670832,959196333
2025;4;17817990,39164244
2025;5;17579308,730733395
2025;6;16804862,39718855
2025;7;16605567,257149167
2025;8;17142868,491814937
2025;9;18578345,362614296
2025;10;19638848,889317833
2025;11;18397138,393439796
2025;12;19407022,15878156
2026;1;18962685,923232075
2026;2;18134041,21843805
2026;3;20305168,763147168
2026;4;18374845,088375214
2026;5;18112803,076777026
2026;6;17222143,83880715
2026;7;17150818,70159729
2026;8;17597361,787458844
2026;9;19257427,785448216
2026;10;20111076,279471822
2026;11;18928041,166732665
2026;12;20010320,39267743
2027;1;19516821,06894446
2027;2;18614702,24457485
2027;3;20941889,68376431
2027;4;18932538,273884423
2027;5;18645250,297526687
2027;6;17635233,650595203
2027;7;17700220,832243975
2027;8;18050154,936278827
2027;9;19942943,646545112
2027;10;20575064,92179408
2027;11;19460124,486609753
2027;12;20615512,967617333
2028;1;20070143,308096472
2028;2;19093820,620959174
